Year,q_cms,conc,fn_conc,flux,fn_flux,station,area,fn_yield,season
2022,12.62,0.0411,0.0446,17.1,28.5,Tiffin,1061,26.86145146,spring
2008,19.18,0.0979,0.0958,63.1,44.9,Blanchard,896,50.11160714,spring
2009,10.16,0.1024,0.1038,34.1,46.2,Blanchard,896,51.5625,spring
2010,11.8,0.1077,0.1125,38.5,47.5,Blanchard,896,53.01339286,spring
2011,23.05,0.1168,0.1217,87,48.8,Blanchard,896,54.46428571,spring
2012,3.94,0.1817,0.1317,13.1,50.2,Blanchard,896,56.02678571,spring
2013,16.43,0.131,0.1415,68.5,51.3,Blanchard,896,57.25446429,spring
2014,10.45,0.1412,0.1513,37.7,52.5,Blanchard,896,58.59375,spring
2015,18.28,0.1507,0.1579,79.6,53.5,Blanchard,896,59.70982143,spring
2016,9.55,0.167,0.1608,35.4,54.4,Blanchard,896,60.71428571,spring
2017,18.57,0.145,0.1631,84.9,55.2,Blanchard,896,61.60714286,spring
2018,10.88,0.1634,0.1662,44.7,56.1,Blanchard,896,62.61160714,spring
2019,18.7,0.1421,0.1695,78.2,57,Blanchard,896,63.61607143,spring
2020,10.4,0.1859,0.173,42.3,57.9,Blanchard,896,64.62053571,spring
2021,10.12,0.1821,0.176,46.5,58.8,Blanchard,896,65.625,spring
2022,8.86,0.1942,0.1791,38,59.7,Blanchard,896,66.62946429,spring
2008,72.8,0.064,0.0518,191.1,140,Sandusky,3239,43.22321704,spring
2009,33.5,0.0398,0.0529,76.7,143,Sandusky,3239,44.14942884,spring
2010,55.4,0.0601,0.054,143.6,145,Sandusky,3239,44.76690337,spring
2011,102.6,0.0682,0.0552,327.3,148,Sandusky,3239,45.69311516,spring
2012,21.4,0.0321,0.0566,40.9,151,Sandusky,3239,46.61932695,spring
2013,67.1,0.0646,0.0574,220.6,153,Sandusky,3239,47.23680148,spring
2014,49.7,0.0598,0.0581,126.5,155,Sandusky,3239,47.85427601,spring
2015,68.9,0.0651,0.0587,233.1,157,Sandusky,3239,48.47175054,spring
2016,37.8,0.0479,0.0601,85.5,159,Sandusky,3239,49.08922507,spring
2017,59.1,0.0688,0.0613,196.3,161,Sandusky,3239,49.7066996,spring
2018,43.4,0.052,0.0628,117.1,163,Sandusky,3239,50.32417413,spring
2019,68.3,0.0837,0.0642,225.8,166,Sandusky,3239,51.25038592,spring
2020,41.6,0.0561,0.066,105.8,168,Sandusky,3239,51.86786045,spring
2021,42.7,0.0656,0.0671,142.8,170,Sandusky,3239,52.48533498,spring
2022,40.1,0.068,0.0686,110.5,173,Sandusky,3239,53.41154677,spring
2008,9.99,0.0911,0.0769,35.47,23.2,Honey,386,60.10362694,spring
2009,4.12,0.0621,0.0767,13.3,23.6,Honey,386,61.13989637,spring
2010,5.31,0.0777,0.0769,18.32,24,Honey,386,62.1761658,spring
2011,12.53,0.0916,0.077,52.58,24.3,Honey,386,62.95336788,spring
2012,2.2,0.0506,0.0776,5.52,24.8,Honey,386,64.24870466,spring
2013,6.23,0.0796,0.0777,26.04,25.1,Honey,386,65.02590674,spring
2014,6.56,0.0819,0.0778,24.58,25.5,Honey,386,66.06217617,spring
2015,7.62,0.0856,0.0771,34.3,25.5,Honey,386,66.06217617,spring
2016,5.41,0.0629,0.0776,17.25,25.6,Honey,386,66.32124352,spring
2017,7.04,0.0844,0.0774,30.92,25.6,Honey,386,66.32124352,spring
2018,5.32,0.0664,0.0768,18.99,25.5,Honey,386,66.06217617,spring
2019,7.52,0.0964,0.0758,31.03,25.3,Honey,386,65.54404145,spring
2020,5.72,0.0731,0.0751,19.37,25.1,Honey,386,65.02590674,spring
2021,5.55,0.0715,0.0734,24.96,24.8,Honey,386,64.24870466,spring
2022,5.66,0.0715,0.0722,19.34,24.6,Honey,386,63.73056995,spring
2008,42.5,0.026,0.0218,48.7,34.6,Raisin,2698,12.82431431,spring
2009,43.5,0.0246,0.0231,48.3,36.4,Raisin,2698,13.49147517,spring
2010,40.6,0.0292,0.0246,42.6,38.4,Raisin,2698,14.23276501,spring
2011,52.3,0.0297,0.0261,67.7,40.4,Raisin,2698,14.97405486,spring
2012,18.9,0.0185,0.0279,15.8,42.4,Raisin,2698,15.7153447,spring
2013,33.7,0.0321,0.0295,44,44.2,Raisin,2698,16.38250556,spring
2014,34.4,0.0294,0.0311,42.2,45.7,Raisin,2698,16.93847294,spring
2015,38.7,0.0349,0.0327,64.3,46.9,Raisin,2698,17.38324685,spring
2016,25.2,0.029,0.0347,23.8,48.8,Raisin,2698,18.0874722,spring
2017,37.7,0.0359,0.036,49.6,50,Raisin,2698,18.53224611,spring
2018,39,0.0362,0.0365,52.4,49.6,Raisin,2698,18.38398814,spring
2019,45.9,0.0409,0.0365,63.1,48.2,Raisin,2698,17.86508525,spring
2020,33.7,0.0349,0.0364,37.9,46.4,Raisin,2698,17.19792439,spring
2021,20.6,0.0334,0.0358,26.4,44.2,Raisin,2698,16.38250556,spring
2022,29.6,0.0338,0.0353,28.2,42,Raisin,2698,15.56708673,spring
2008,470.3,0.1177,0.1054,1830,854,Maumee,16388,52.11130095,winter
2009,195.2,0.1022,0.1082,713,859,Maumee,16388,52.41640225,winter
2010,91.6,0.1123,0.1107,337,866,Maumee,16388,52.84354406,winter
2011,95.9,0.1038,0.1129,316,870,Maumee,16388,53.08762509,winter
2012,418.7,0.122,0.1143,1723,875,Maumee,16388,53.39272639,winter
2013,172.9,0.1124,0.1151,659,873,Maumee,16388,53.27068587,winter
2014,243,0.1109,0.1141,930,873,Maumee,16388,53.27068587,winter
2015,82.3,0.1148,0.1119,316,877,Maumee,16388,53.5147669,winter
2016,165.9,0.1028,0.1069,641,874,Maumee,16388,53.33170613,winter
2017,279.3,0.1106,0.1032,1036,861,Maumee,16388,52.53844276,winter
2018,207.8,0.0914,0.1004,667,848,Maumee,16388,51.7451794,winter
2019,342.1,0.1168,0.0978,1233,834,Maumee,16388,50.89089578,winter
2020,308.2,0.1103,0.0952,1090,821,Maumee,16388,50.09763241,winter
2021,83.4,0.0709,0.093,261,805,Maumee,16388,49.12130827,winter
2022,281.7,0.1043,0.0908,964,790,Maumee,16388,48.20600439,winter
2008,30.63,0.0689,0.0438,89.3,33,Tiffin,1061,31.10273327,winter
2009,15.3,0.0439,0.0444,40.5,33.7,Tiffin,1061,31.76248822,winter
2010,7.79,0.039,0.0451,15.09,34.3,Tiffin,1061,32.32799246,winter
2011,5.45,0.0274,0.0456,8.9,34.8,Tiffin,1061,32.79924599,winter
2012,28.92,0.0751,0.0461,93.44,35.3,Tiffin,1061,33.27049953,winter
2013,5.21,0.029,0.0466,7.05,35.8,Tiffin,1061,33.74175306,winter
2014,11.76,0.0432,0.0469,28.57,36.1,Tiffin,1061,34.02450518,winter
2015,2.51,0.0244,0.0472,2.44,36.6,Tiffin,1061,34.49575872,winter
2016,6.48,0.0336,0.0462,9.99,36.4,Tiffin,1061,34.3072573,winter
2017,19.12,0.0596,0.0442,49.1,35.9,Tiffin,1061,33.83600377,winter
2018,13.54,0.0336,0.0421,34.86,35.1,Tiffin,1061,33.08199811,winter
2019,15.44,0.047,0.04,31.14,34.1,Tiffin,1061,32.13949105,winter
2020,19.63,0.0528,0.0377,47.87,32.8,Tiffin,1061,30.91423186,winter
2021,2.88,0.0157,0.0354,1.79,31.5,Tiffin,1061,29.68897267,winter
2022,18.17,0.0434,0.0332,39.85,30.1,Tiffin,1061,28.36946277,winter
2008,25.97,0.1019,0.0835,118,50.9,Blanchard,896,56.80803571,winter
2009,12.42,0.088,0.0907,48.2,51.8,Blanchard,896,57.8125,winter
2010,1.66,0.0825,0.0986,4.82,52.9,Blanchard,896,59.04017857,winter
2011,6.27,0.0978,0.1072,23.18,53.9,Blanchard,896,60.15625,winter
2012,23.03,0.1204,0.1161,108.06,55.3,Blanchard,896,61.71875,winter
2013,11.89,0.1252,0.126,50.8,55.9,Blanchard,896,62.38839286,winter
2014,17.12,0.138,0.1376,85.39,56.8,Blanchard,896,63.39285714,winter
2015,2.65,0.1686,0.1535,12.2,58,Blanchard,896,64.73214286,winter
2016,10.85,0.173,0.1651,51.54,59.4,Blanchard,896,66.29464286,winter
2017,9.42,0.1675,0.1728,38.59,60.1,Blanchard,896,67.07589286,winter
2018,14.01,0.1754,0.18,58.24,61,Blanchard,896,68.08035714,winter
2019,22.08,0.1467,0.1866,101.29,61.9,Blanchard,896,69.08482143,winter
2020,13.72,0.1633,0.1921,59.24,63.2,Blanchard,896,70.53571429,winter
2021,7.97,0.2132,0.1985,39.19,63.9,Blanchard,896,71.31696429,winter
2022,13.96,0.1874,0.2039,63.93,64.9,Blanchard,896,72.43303571,winter
2008,107.4,0.0867,0.0649,414.1,183,Sandusky,3239,56.49891942,winter
2009,61.3,0.06,0.0653,209.7,186,Sandusky,3239,57.42513121,winter
2010,15.3,0.0422,0.0655,31.7,188,Sandusky,3239,58.04260574,winter
2011,38,0.0579,0.0657,111,190,Sandusky,3239,58.66008027,winter
2012,98.9,0.0961,0.0658,405.8,193,Sandusky,3239,59.58629207,winter
2013,48.5,0.0664,0.0656,161.3,194,Sandusky,3239,59.89502933,winter
2014,77.2,0.0665,0.0648,329.8,196,Sandusky,3239,60.51250386,winter
2015,14.3,0.0367,0.0637,27.6,197,Sandusky,3239,60.82124112,winter
2016,42.9,0.053,0.0636,148.6,200,Sandusky,3239,61.74745292,winter
2017,45.9,0.0596,0.0645,141,202,Sandusky,3239,62.36492745,winter
2018,63.7,0.0626,0.0654,204.4,204,Sandusky,3239,62.98240198,winter
2019,79.8,0.088,0.0663,283.6,206,Sandusky,3239,63.59987651,winter
2020,45.1,0.0695,0.067,132.1,208,Sandusky,3239,64.21735103,winter
2021,28.8,0.0567,0.0679,96,210,Sandusky,3239,64.83482556,winter
2022,65.2,0.0802,0.0688,233.5,212,Sandusky,3239,65.45230009,winter
2008,12.55,0.1005,0.0772,61.68,30.2,Honey,386,78.23834197,winter
2009,8.24,0.0805,0.0772,35.96,30.2,Honey,386,78.23834197,winter
2010,1.6,0.0506,0.0772,4.14,30.5,Honey,386,79.01554404,winter
2011,5.26,0.0621,0.0771,22.62,30.8,Honey,386,79.79274611,winter
2012,11.09,0.1096,0.0769,57.18,31.3,Honey,386,81.0880829,winter
2013,5.69,0.074,0.0767,22.91,31.2,Honey,386,80.82901554,winter
2014,7.88,0.0727,0.0762,41.78,31.3,Honey,386,81.0880829,winter
2015,1.38,0.0432,0.0749,4.25,31.1,Honey,386,80.56994819,winter
2016,5.62,0.0632,0.073,24.55,31,Honey,386,80.31088083,winter
2017,7.5,0.0698,0.0721,29.58,30.7,Honey,386,79.53367876,winter
2018,8.55,0.0668,0.0712,33.23,30.6,Honey,386,79.2746114,winter
2019,9.8,0.0933,0.0699,40.86,30.3,Honey,386,78.49740933,winter
2020,6.01,0.0716,0.0683,20.07,30.3,Honey,386,78.49740933,winter
2021,4.82,0.0642,0.0665,20.06,29.7,Honey,386,76.94300518,winter
2022,8.9,0.0793,0.0648,37.06,29.4,Honey,386,76.16580311,winter
2008,57.73,0.0383,0.0229,96.69,38.5,Raisin,2698,14.2698295,winter
2009,39.09,0.0274,0.024,62.96,40.5,Raisin,2698,15.01111935,winter
2010,16.43,0.0185,0.025,11.49,42.4,Raisin,2698,15.7153447,winter
2011,14.22,0.0151,0.0261,9.74,44.2,Raisin,2698,16.38250556,winter
2012,62.24,0.0491,0.0271,132.67,45.8,Raisin,2698,16.97553744,winter
2013,10.4,0.0137,0.028,5.55,47.3,Raisin,2698,17.53150482,winter
2014,16.46,0.0197,0.0285,15.74,48.3,Raisin,2698,17.90214974,winter
2015,9.23,0.0146,0.0292,5.32,50.1,Raisin,2698,18.5693106,winter
2016,17.35,0.0212,0.0294,17.69,51.4,Raisin,2698,19.051149,winter
2017,38.04,0.0391,0.0292,63.72,52.5,Raisin,2698,19.45885841,winter
2018,31.28,0.0218,0.0283,53.49,51.5,Raisin,2698,19.08821349,winter
2019,30.41,0.0302,0.027,39.64,49.2,Raisin,2698,18.23573017,winter
2020,47.64,0.0399,0.0254,88.27,46.2,Raisin,2698,17.1237954,winter
2021,9.25,0.0108,0.0238,3.43,43.2,Raisin,2698,16.01186064,winter
2022,37.22,0.0298,0.0221,51.09,40.1,Raisin,2698,14.86286138,winter
