Date,Precip,MaxAirTemp,RecordMaxTemp,RecordMaxYear,MinAirTemp,RecordMinTemp,RecordMinYear,AvgAirTemp,MaxAirTempTime,MinAirTempTime,MaxRel.Hum.,MinRel.Hum.,Avg.Rel.Hum.,HDD,CDD,GDD,GDD Mod. Sine Wave,Solar Radiation (Langleys),AvgWindDir,AvgWindSpeed,MaxWindSpeed,TimeMaxWindSpeed,MaxSoilTemp2",MinSoilTemp2",AvgSoilTemp2",MaxSoilTemp4",MinSoilTemp4",AvgSoilTemp4",Max50cmAirTemp,Min50cmAirTemp,Avg50cmAirTemp,Max300cmAirTemp,Min300cmAirTemp,Avg300cmAirTemp
10/14/2017,0,81.3,86.0,1989,52.8,27.0,1993,65.9,5:25 PM,3:55 AM,97,39,73,0,0.8,15.8,17.0,242.13,118.384027777778,3.4,8.7,3:30 PM,70.6,64.5,67.2,67.1,62.8,64.7,-,-,-,-,-,-,
10/15/2017,0.05,76.4,84.0,1956,50.5,24.0,1991,65.4,11:05 AM,11:55 PM,92,64,79,0,0.3,15.3,13.4,105.31,226.952430555556,10.5,18.4,11:00 AM,69.2,64.5,67.7,66.4,63.5,65.5,-,-,-,-,-,-,
10/16/2017,0.01,57.9,84.0,1956,39.8,27.0,1995,48.6,5:45 PM,6:15 AM,95,48,76,16.4,0,0,2.3,298.33,247.871388888889,3.1,7.3,11:20 AM,65.0,60.4,62.7,63.4,59.7,61.4,-,-,-,-,-,-,
10/17/2017,0,67.7,83.0,1953,41.9,24.0,1977,53.3,4:25 PM,6:40 AM,91,40,67,11.7,0,3.2,6.7,351.5,188.445138888889,6.4,13.1,2:10 PM,62.8,57.4,60.0,60.4,56.9,58.8,-,-,-,-,-,-,
10/18/2017,0,71.6,83.0,1953,42.5,24.0,1977,56.7,5:00 PM,7:20 AM,89,32,61,8.2,0,6.7,8.7,349.77,176.960763888889,5.7,13.1,3:25 PM,63.2,56.7,59.8,60.5,56.2,58.4,-,-,-,-,-,-,
10/19/2017,0,72.6,86.0,1953,50.3,25.0,1992,59.2,4:00 PM,7:35 AM,82,50,68,5.8,0,9.1,11.,326.43,209.832638888889,6.5,11.8,1:00 PM,64.1,57.5,60.4,61.1,56.7,58.7,-,-,-,-,-,-,
10/20/2017,0,77.0,83.0,1953,38.1,23.0,1972,57.5,4:10 PM,8:00 AM,96,31,62,7.5,0,7.4,10.4,332.43,123.497569444445,2.6,7.5,11:40 AM,64.5,56.1,60.0,61.2,55.6,58.4,-,-,-,-,-,-,
10/21/2017,0,76.3,82.0,1953,48.0,21.0,1974,62.8,2:55 PM,6:45 AM,86,41,63,2.2,0,12.7,12.4,257.83,140.710763888889,3.8,10.1,1:05 PM,64.6,57.7,61.0,61.6,56.8,59.1,-,-,-,-,-,-,
10/22/2017,0,79.5,81.0,1979,53.5,21.0,1997,66.0,3:55 PM,7:20 AM,87,41,64,0,1.0,16.0,16.4,318.02,154.6,6.6,14.0,12:30 PM,65.8,59.2,62.2,62.4,58.0,60.1,-,-,-,-,-,-,
10/23/2017,0.24,68.2,81.0,1963,53.6,22.0,1969,62.7,11:30 AM,11:55 PM,95,66,79,2.2,0,12.7,10.8,56.65,148.189930555555,7.8,17.9,4:40 PM,63.1,38.8,48.8,61.5,60.1,60.8,-,-,-,-,-,-,
10/24/2017,0.05,54.1,83.0,1963,44.0,20.0,1969,49.6,2:05 PM,11:55 PM,94,68,84,15.4,0,0,1.1,131.55,198.972916666667,11.5,19.9,2:05 PM,38.8,35.4,37.1,60.6,55.8,58.1,-,-,-,-,-,-,
10/25/2017,0,52.4,81.0,1963,36.1,22.0,1969,44.8,3:25 PM,11:20 PM,93,54,78,20.1,0,0,0.3,262.6,213.636111111111,7.4,13.3,1:00 AM,35.5,34.1,34.9,56.1,54.1,55.0,-,-,-,-,-,-,
10/26/2017,0,54.8,82.0,1963,29.4,22.0,1962,42.4,3:50 PM,6:50 AM,95,43,73,22.6,0,0,0.9,296.49,167.788194444444,4.1,10.3,1:30 PM,34.1,31.9,32.9,54.5,50.7,52.8,-,-,-,-,-,-,
10/27/2017,0.41,63.8,84.0,1963,39.4,20.0,1962,50.4,12:40 PM,11:55 PM,95,57,74,14.5,0,0.4,4.7,213.11,197.655902777778,8.5,14.8,12:45 PM,33.9,32.3,32.8,55.4,52.2,53.4,-,-,-,-,-,-,
10/28/2017,0.18,42.0,78.0,1984,36.2,21.0,1976,38.9,4:15 PM,7:45 AM,95,72,85,26.1,0,0,0,110.93,209.874652777778,6.6,11.8,2:45 PM,32.4,31.0,31.7,53.1,50.2,51.2,-,-,-,-,-,-,
10/29/2017,0,47.8,77.0,1999,37.7,22.0,1965,41.0,3:20 PM,8:25 AM,91,68,84,24.0,0,0,0,199.94,267.123263888889,4.6,8.7,2:00 PM,31.8,30.5,31.0,52.2,49.5,50.6,-,-,-,-,-,-,
10/30/2017,0.07,43.8,79.0,1999,32.7,18.0,1988,39.9,5:05 PM,5:00 AM,91,71,84,25.0,0,0,0,58.12,214.45625,9.1,14.9,1:20 PM,31.1,29.6,30.2,51.4,48.7,49.5,-,-,-,-,-,-,
10/31/2017,0,42.6,77.0,1956,33.6,26.0,1968,37.8,2:35 PM,9:30 PM,83,58,70,27.1,0,0,0,178.35,213.019097222222,8.1,14.1,11:45 AM,29.6,28.6,29.0,48.7,46.8,47.6,-,-,-,-,-,-,
11/1/2017,0.32,44.7,77.0,1974,33.7,21.0,1993,39.8,4:40 PM,2:25 AM,97,76,85,25.2,0,0,0,66.2,133.610173611111,4.3,7.2,1:50 PM,29.2,28.5,28.9,48.6,46.7,47.5,-,-,-,-,-,-,
11/2/2017,0.3,65.8,78.0,1968,44.3,22.0,1996,59.1,5:00 PM,0:00 AM,98,78,87,5.8,0,9.1,6.3,95.93,172.032291666667,8.1,13.7,12:50 PM,32.7,29.1,30.9,53.9,48.4,51.1,-,-,-,-,-,-,
11/3/2017,0.12,63.3,76.0,1961,41.4,17.0,1991,50.4,0:40 AM,9:25 PM,97,66,84,14.6,0,0.3,4.7,210.47,197.832138888889,4.6,11.7,3:20 AM,33.3,31.5,32.6,55.0,53.1,54.2,-,-,-,-,-,-,
11/4/2017,0,58.1,72.0,1961,38.8,14.0,1991,45.8,11:55 PM,2:55 AM,95,77,86,19.2,0,0,2.3,121.88,81.9621840277778,4.4,9.5,10:10 AM,31.7,30.4,31.1,53.1,50.3,51.7,-,-,-,-,-,-,
11/5/2017,2.37,67.2,74.0,1964,58.1,19.0,1991,61.6,1:45 PM,0:00 AM,98,91,94,3.3,0,11.6,12.6,34.78,184.920451388889,6.3,16.3,6:50 PM,35.5,31.6,33.4,57.7,52.5,55.1,-,-,-,-,-,-,
11/6/2017,0.12,59.0,72.0,1978,38.7,21.0,1967,46.4,0:00 AM,10:15 PM,98,73,85,18.6,0,0,2.6,122.8,238.036736111111,5.1,11.0,0:50 AM,34.0,31.6,32.8,57.4,53.7,55.6,-,-,-,-,-,-,
11/7/2017,0,49.8,75.0,1975,37.9,6.0,1991,43.5,1:55 PM,11:55 PM,92,62,77,21.4,0,0,0,163.85,70.8244687500001,2.9,8.0,11:10 AM,33.0,31.1,31.9,53.6,52.0,52.7,-,-,-,-,-,-,
11/8/2017,0,50.1,69.0,1986,29.7,9.0,1991,38.4,5:00 PM,8:15 AM,96,49,82,26.5,0,0,0,258.12,113.839128472222,1.5,7.7,9:55 AM,32.9,29.9,31.3,52.0,48.6,50.4,-,-,-,-,-,-,
11/9/2017,0,50.4,71.0,1975,29.2,15.0,1991,38.3,4:25 PM,3:15 AM,97,58,79,26.7,0,0,2.1,205.34,185.625694444444,6.0,14.5,4:30 PM,30.5,28.4,29.4,49.8,46.8,48.2,-,-,-,-,-,-,
11/10/2017,0,32.6,76.0,1975,20.5,21.0,1973,26.2,0:05 AM,8:25 AM,76,53,64,38.7,0,0,0,167.22,190.737649305556,6.8,13.8,0:40 AM,28.8,26.1,27.0,48.2,44.2,45.5,-,-,-,-,-,-,
11/11/2017,0,36.6,69.0,1999,20.6,19.0,1996,27.7,5:00 PM,8:20 AM,82,38,64,37.2,0,0,0,199.57,96.2412847222222,4.2,9.2,10:50 AM,26.6,24.7,25.6,44.6,42.3,43.6,-,-,-,-,-,-,
11/12/2017,0.16,42.0,71.0,1964,28.7,13.0,1986,35.4,3:30 PM,2:55 AM,96,64,80,29.6,0,0,0,65.84,122.895690972222,2.0,6.6,11:40 PM,27.0,25.3,26.0,45.4,43.4,44.2,-,-,-,-,-,-,
11/13/2017,0.06,41.9,71.0,1955,36.2,12.0,1986,38.7,1:45 PM,7:55 AM,96,69,86,26.2,0,0,0,92.92,274.365972222222,4.6,8.7,1:15 AM,27.6,26.2,26.8,46.4,44.8,45.5,-,-,-,-,-,-,
11/14/2017,0,48.6,71.0,1956,32.1,13.0,1986,39.7,4:10 PM,11:30 PM,94,62,83,25.2,0,0,0,196.18,164.470833333333,2.9,6.9,3:20 PM,28.8,26.3,27.2,48.0,45.2,46.3,-,-,-,-,-,-,
11/15/2017,0.14,48.6,70.0,1971,31.4,14.0,1986,39.9,11:30 PM,3:45 AM,96,77,88,25.0,0,0,0,37.79,156.181701388889,7.4,14.7,11:25 PM,26.9,25.4,26.0,46.2,44.0,44.7,-,-,-,-,-,-,
11/16/2017,0,47.4,72.0,1964,35.2,15.0,1967,39.7,0:15 AM,11:10 PM,91,75,84,25.2,0,0,0,64.24,261.35,6.6,12.4,5:15 AM,26.9,25.7,26.2,45.8,44.7,45.2,-,-,-,-,-,-,
11/17/2017,0,45.4,70.0,1953,35.3,15.0,1959,39.9,4:15 PM,2:10 AM,88,64,75,25.1,0,0,0,174.32,142.546180555556,5.3,13.0,11:15 AM,27.7,25.4,26.2,46.3,44.1,45.0,-,-,-,-,-,-,
11/18/2017,2.18,54.5,71.0,1954,34.1,10.0,1959,45.9,5:50 PM,11:35 PM,98,61,93,19.1,0,0,0.9,11.1,196.555902777778,8.2,16.6,7:35 PM,26.9,25.1,26.2,47.6,45.0,46.1,-,-,-,-,-,-,
11/19/2017,0.02,39.5,72.0,1975,31.1,18.0,1997,36.0,2:55 AM,10:15 PM,97,68,80,29,0,0,0,86.52,275.876388888889,7.1,11.9,5:05 AM,25.8,23.4,24.8,46.9,42.9,44.9,-,-,-,-,-,-,
11/20/2017,0,46.8,72.0,1953,28.0,12.0,1984,36.2,4:35 PM,8:25 AM,87,52,72,28.8,0,0,0,219.29,194.415277777778,11.3,18.3,3:35 PM,24.1,21.9,23.0,42.9,40.5,41.7,-,-,-,-,-,-,
11/21/2017,0,51.8,64.0,1975,36.6,12.0,1984,42.7,2:40 PM,2:55 AM,92,56,68,22.3,0,0,0.2,165.94,213.081944444445,11.3,20.5,11:55 AM,25.1,22.6,23.8,43.5,40.8,42.0,-,-,-,-,-,-,
11/22/2017,0,37.5,66.0,1979,24.8,12.0,1964,31.8,0:00 AM,9:30 PM,86,58,73,33.1,0,0,0,99.58,270.394048611111,5.0,10.4,10:50 AM,25.2,23.1,24.5,43.4,41.1,42.4,-,-,-,-,-,-,
11/23/2017,0,40.6,66.0,1999,25.7,12.0,1971,32.6,5:35 PM,2:10 AM,85,60,76,32.4,0,0,0,140.81,185.444097222222,6.1,12.2,3:10 PM,24.0,22.1,22.9,41.2,39.4,40.3,-,-,-,-,-,-,
11/24/2017,0,54.7,72.0,1999,30.9,14.0,1970,41.6,4:15 PM,0:10 AM,85,43,64,23.4,0,0,0.9,207.3,180.085416666667,9.1,16.7,2:45 PM,24.9,21.5,23.0,42.2,39.0,40.4,-,-,-,-,-,-,
11/25/2017,0,53.9,48.0,1973,35.7,16.0,1970,47.1,2:25 PM,11:55 PM,83,53,64,17.9,0,0,0.7,202.84,248.732986111111,8.2,15.3,0:00 AM,26.7,24.1,25.2,44.9,42.0,43.2,-,-,-,-,-,-,
11/26/2017,0,44.3,64.0,1988,25.2,16.0,1970,35.3,4:30 PM,7:25 AM,92,58,75,29.6,0,0,0,215.2,244.471875,5.2,11.9,2:55 PM,25.1,22.0,23.4,43.9,40.5,42.0,-,-,-,-,-,-,
11/27/2017,0,55.3,70.0,1990,31.9,13.0,1956,43.0,5:25 PM,9:00 AM,87,55,71,22,0,0,1.0,190.32,175.268263888889,4.3,8.9,2:45 AM,25.9,22.0,23.6,44.2,40.4,42.0,-,-,-,-,-,-,
11/28/2017,0,64.2,66.0,1984,44.4,8.0,1955,52.8,3:40 PM,4:35 AM,72,31,52,12.1,0,2.8,5.5,200.98,183.039236111111,10.9,20.4,1:25 PM,26.6,23.5,24.8,45.4,42.3,43.6,-,-,-,-,-,-,
11/29/2017,0,56.6,66.0,1960,30.2,7.0,1955,43.2,1:05 AM,11:50 PM,90,42,63,21.8,0,0,1.4,206.16,167.463138888889,4.4,11.9,1:25 AM,26.0,23.2,24.9,45.4,43.2,44.5,-,-,-,-,-,-,
11/30/2017,0.07,50.2,63.0,1991,30.0,0.0,1958,41.5,4:30 PM,0:25 AM,94,62,79,23.4,0,0,1.0,86.39,193.512951388889,6.0,12.2,10:30 AM,24.9,22.3,23.4,44.1,41.7,42.7,-,-,-,-,-,-,
12/1/2017,0,50.1,64.0,1975,27.2,9.0,1964,36.6,5:25 PM,8:55 AM,93,46,77,28.4,0,0,0,201.23,139.430208333333,1.8,4.9,3:25 PM,24.4,21.0,22.5,43.5,40.1,41.8,-,-,-,-,-,-,
12/2/2017,0,50.7,65.0,1970,26.2,6.0,1966,35.8,4:25 PM,5:55 AM,94,57,83,29.1,0,0,4.8,132.43,120.378125,2.4,8.2,4:40 PM,23.3,20.3,21.5,42.1,39.1,40.6,-,-,-,-,-,-,
12/3/2017,0,55.6,62.0,1994,29.4,-6.0,1976,39.2,4:35 PM,7:15 AM,91,41,75,25.7,0,0,1.1,193.55,143.750347222222,2.1,5.0,4:30 AM,23.8,20.1,21.7,42.7,39.1,40.8,-,-,-,-,-,-,
12/4/2017,0.01,56.6,63.0,1953,32.4,-3.0,2002,46.8,2:55 PM,0:55 AM,88,51,69,18.2,0,0,1.5,108.23,134.031944444445,7.2,14.6,11:50 PM,24.2,20.6,22.1,43.7,39.8,41.3,-,-,-,-,-,-,
12/5/2017,0.02,57.6,62.0,1961,30.6,1.0,1976,43.4,0:35 AM,10:40 PM,89,55,74,21.6,0,0,1.7,65.09,214.098263888889,14.2,20.7,7:25 AM,25.3,20.5,23.8,45.4,41.2,44.1,-,-,-,-,-,-,
12/6/2017,0,39.9,68.0,1956,27.4,7.0,1974,31.7,3:35 PM,6:40 AM,76,45,63,33.2,0,0,0,110.23,214.684722222222,11.4,18.0,4:05 PM,20.5,18.8,19.5,41.2,38.3,39.2,-,-,-,-,-,-,
12/7/2017,0,28.5,56.0,1966,23.7,1.0,1977,26.1,4:00 PM,8:55 AM,85,63,73,38.8,0,0,0,84.88,235.718402777778,9.4,14.6,11:25 AM,18.8,17.5,18.0,38.3,36.3,37.0,-,-,-,-,-,-,
12/8/2017,0,32.6,64.0,2004,17.4,-7.0,2005,23.9,4:20 PM,8:50 AM,84,33,63,41.0,0,0,0,197.27,194.086111111111,10.0,15.5,3:40 PM,17.5,16.6,16.9,36.3,35.0,35.5,-,-,-,-,-,-,
12/9/2017,0,29.9,67.0,1966,21.0,-2.0,2005,25.6,1:10 PM,4:25 AM,93,58,75,39.4,0,0,0,76,204.991666666667,6.1,12.0,1:35 PM,16.6,16.2,16.3,35.0,34.4,34.6,-,-,-,-,-,-,
12/10/2017,0,30.8,54.0,1993,21.8,-7.0,1958,27.2,2:55 PM,5:45 AM,92,63,78,37.8,0,0,0,79.36,220.057291666667,8.1,16.6,3:15 PM,16.4,16.3,16.3,34.6,34.4,34.5,-,-,-,-,-,-,
12/11/2017,0,34.2,69.0,1971,18.4,-7.0,1977,28.5,5:05 PM,6:50 AM,92,68,80,36.4,0,0,0,56.91,187.746597222222,4.2,8.4,11:50 AM,16.3,16.2,16.3,34.5,34.3,34.4,-,-,-,-,-,-,
12/12/2017,0.03,31.8,61.0,1979,13.0,-8.0,1962,23.2,2:05 AM,8:25 PM,95,52,73,41.8,0,0,0,167.85,295.16875,6.3,13.3,11:30 AM,16.4,16.2,16.3,34.7,34.4,34.5,-,-,-,-,-,-,
12/13/2017,0.09,32.5,58.0,1984,17.1,-7.0,1962,21.1,11:55 PM,0:00 AM,96,63,78,43.8,0,0,0,59.38,191.456597222222,7.2,13.9,3:35 PM,16.3,16.1,16.1,34.6,34.3,34.4,-,-,-,-,-,-,
12/14/2017,0.04,32.6,61.0,1975,1.7,-2.0,1962,16.2,0:05 AM,11:25 PM,96,73,85,48.8,0,0,0,190.89,263.535416666667,5.0,15.1,2:10 AM,16.2,16.1,16.1,34.5,34.3,34.4,-,-,-,-,-,-,
12/15/2017,0,28.8,63.0,1975,-1.0,-3.0,1989,18.5,11:55 PM,0:45 AM,91,71,82,46.5,0,0,0,92.73,181.914236111111,7.7,15.4,12:35 PM,16.2,16.1,16.2,34.6,34.5,34.5,-,-,-,-,-,-,
12/16/2017,0,41.8,63.0,1971,26.5,-7.0,1989,33.7,5:25 PM,11:40 PM,96,70,79,31.2,0,0,0,134.69,165.024739583333,8.0,14.4,2:05 AM,17.1,16.2,16.6,35.7,34.6,35.0,-,-,-,-,-,-,
12/17/2017,0,37.8,63.0,1984,23.2,-6.0,1989,30.7,10:05 PM,8:55 AM,97,87,94,34.3,0,0,0,60.28,87.3704131944445,2.2,9.5,11:30 PM,17.4,16.3,16.7,36.1,34.9,35.3,-,-,-,-,-,-,
12/18/2017,0,44.6,57.0,1984,36.3,0.0,1963,40.5,4:35 PM,2:00 AM,96,86,90,24.4,0,0,0,42.1,192.148958333333,8.9,14.3,8:35 PM,19.6,17.4,18.3,39.0,36.1,37.3,-,-,-,-,-,-,
12/19/2017,0,49.7,60.0,1967,36.4,-6.0,1963,43.5,2:05 PM,11:50 PM,95,78,87,21.4,0,0,0,141.75,217.129513888889,10.6,16.0,2:20 PM,21.3,19.5,20.2,41.2,39.0,39.9,-,-,-,-,-,-,
12/20/2017,0,37.8,60.0,1957,26.9,-6.0,1963,32.2,0:55 AM,10:30 PM,95,53,76,32.8,0,0,0,191.63,210.632763888889,3.6,8.2,2:00 AM,20.1,17.5,18.6,40.4,37.4,38.7,-,-,-,-,-,-,
12/21/2017,0,36.7,59.0,1967,27.3,-19.0,1989,32.0,3:15 PM,6:55 AM,86,67,78,33,0,0,0,81.2,68.2216319444445,5.4,10.1,8:20 PM,18.5,17.0,17.7,38.0,36.6,37.3,-,-,-,-,-,-,
12/22/2017,0.01,38.7,65.0,1967,33.9,-17.0,1989,36.1,2:45 PM,11:35 PM,98,69,92,28.9,0,0,0,28.6,106.502430555556,2.1,8.4,3:20 AM,19.6,18.1,18.8,39.3,37.8,38.4,-,-,-,-,-,-,
12/23/2017,0.35,34.1,57.0,1956,23.7,-11.0,1989,31.0,4:10 AM,8:40 PM,99,85,96,33.9,0,0,0,91.16,293.274305555556,4.9,8.9,7:35 AM,19.2,18.0,18.4,39.2,37.9,38.4,-,-,-,-,-,-,
12/24/2017,0.18,30.1,57.0,1955,19.9,-13.0,1983,25.4,1:25 PM,11:55 PM,96,84,91,39.5,0,0,0,64.78,222.966756944444,3.1,7.5,5:20 PM,18.0,17.9,17.9,37.9,37.6,37.7,-,-,-,-,-,-,
12/25/2017,0,20.8,63.0,1964,10.5,-17.0,2004,17.3,4:40 AM,11:55 PM,93,71,81,47.7,0,0,0,204.69,237.871180555556,12.7,19.5,2:40 PM,18.0,17.0,17.7,37.7,36.5,37.4,-,-,-,-,-,-,
12/26/2017,0,11.8,58.0,1959,3.3,-10.0,1983,8.4,2:25 PM,11:55 PM,82,73,77,56.5,0,0,0,180.67,238.458333333333,7.5,11.1,2:55 PM,17.0,16.1,16.5,36.5,35.2,35.7,-,-,-,-,-,-,
12/27/2017,0,8.2,63.0,1959,-5.2,-13.0,2004,1.1,3:25 PM,9:20 AM,88,77,82,63.9,0,0,0,209.24,211.428472222222,4.3,7.5,12:45 PM,16.1,15.6,15.9,35.2,34.5,34.8,-,-,-,-,-,-,
12/28/2017,0,13.9,62.0,1971,-6.5,-5.0,2001,4.5,4:05 PM,7:05 AM,90,64,81,60.4,0,0,0,155.7,123.228645833333,2.0,7.7,2:10 PM,15.6,15.1,15.3,34.5,33.7,34.0,-,-,-,-,-,-,
12/29/2017,0,16.0,66.0,1984,11.9,-3.0,1961,13.9,2:55 PM,0:05 AM,90,79,85,51.1,0,0,0,142.4,209.297569444445,6.4,11.8,2:05 PM,15.1,15.0,15.1,33.7,33.5,33.6,-,-,-,-,-,-,
12/30/2017,0,17.1,63.0,1984,-0.3,-11.0,1983,11.2,1:30 PM,11:30 PM,90,65,82,53.7,0,0,0,155.53,252.497222222222,6.5,14.8,2:10 PM,15.1,15.0,15.0,33.5,33.5,33.5,-,-,-,-,-,-,
12/31/2017,0,13.2,61.0,1972,-3.6,-11.0,1983,3.8,4:45 PM,3:45 AM,89,70,82,61.2,0,0,0,191.45,236.120833333333,3.5,6.6,0:00 AM,15.0,14.8,14.9,33.5,33.2,33.3,-,-,-,-,-,-,
1/1/2018,0,9.4,60.0,1966,-2.3,-11.0,1984,3.9,2:15 PM,4:50 AM,90,78,84,61.0,0,0,0,146.54,238.761458333334,7.8,12.6,6:00 PM,14.8,14.5,14.7,33.2,32.9,33.0,-,-,-,-,-,-,
1/2/2018,0,6.0,65.0,2000,-4.2,-3.0,1968,2.1,5:20 PM,10:50 AM,87,69,77,62.9,0,0,0,213.18,207.216319444444,10.7,15.4,3:30 PM,14.5,13.7,14.2,32.9,32.2,32.6,-,-,-,-,-,-,
1/3/2018,0,17.3,61.0,2004,0.5,-5.0,1979,10.3,2:10 PM,2:25 AM,89,64,76,54.6,0,0,0,133.16,199.743402777778,8.9,13.5,1:10 PM,13.8,13.4,13.6,32.1,31.6,31.8,-,-,-,-,-,-,
1/4/2018,0,15.8,59.0,2000,-1.6,-11.0,1981,9.9,4:50 AM,11:35 PM,89,65,77,55.1,0,0,0,155.89,288.475,5.2,12.3,2:30 PM,14.0,13.7,13.9,31.8,31.7,31.7,-,-,-,-,-,-,
1/5/2018,0,9.9,65.0,1997,-5.6,-11.0,1981,0.8,2:15 PM,11:30 PM,82,60,73,64.1,0,0,0,216.45,264.347916666667,4.1,7.8,2:25 PM,15.6,9.6,12.4,31.8,31.3,31.5,-,-,-,-,-,-,
1/6/2018,0,13.9,60.0,1998,-6.8,-11.0,1981,2.6,3:30 PM,3:50 AM,89,67,81,62.3,0,0,0,191.99,190.016899305555,2.1,5.8,6:00 AM,15.7,4.0,8.9,31.3,30.8,31.0,-,-,-,-,-,-,
1/7/2018,0,28.7,56.0,1989,-3.4,-6.0,1994,13.5,11:55 PM,0:20 AM,87,57,72,51.5,0,0,0,126.6,166.177083333333,8.6,14.7,9:45 PM,18.6,8.1,13.5,30.8,30.4,30.6,-,-,-,-,-,-,
1/8/2018,0.23,34.8,60.0,1965,28.7,-10.0,1968,32.7,12:00 PM,0:00 AM,96,61,89,32.2,0,0,0,57.48,206.95,11.1,15.8,7:15 AM,22.2,11.7,18.3,31.3,30.8,31.0,-,-,-,-,-,-,
1/9/2018,0,33.6,62.0,1965,24.4,-11.0,1994,30.1,2:50 PM,11:55 PM,96,86,92,34.8,0,0,0,99.95,194.127399305556,5.0,11.1,0:00 AM,22.0,13.6,18.4,31.5,31.3,31.4,-,-,-,-,-,-,
1/10/2018,0.03,50.6,48.0,2000,22.2,-10.0,1981,36.9,11:55 PM,6:00 AM,97,86,92,28.1,0,0,3.6,101.71,128.938263888889,5.8,11.3,8:00 PM,14.4,11.0,12.1,31.6,31.5,31.5,-,-,-,-,-,-,
