STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-22,,,0.43,,,,44,26,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-23,,,0,,,,36,25,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-24,,,0,,,,38,24,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-25,,,0.22,,,,40,24,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-26,,,0.54,,,,39,34,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-27,,,0,,,,43,25,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-28,,,0,,,,48,21,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-29,,,0,,,,48,27,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-30,,,0,,,,44,21,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-01,,,0.01,,,,33,19,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-02,,,0.84,,,,54,33,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-03,,,0,,,,39,29,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-04,,,0.01,,,,32,25,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-05,,,0.12,,,,27,4,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-06,,,0,,,,24,2,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-07,,,0.01,,,,33,24,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-08,,,0.06,,,,34,28,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-09,,,0.26,,,,33,30,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-10,,,0,,,,33,31,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-11,,,0.79,,,,44,32,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-12,,,0.42,,,,38,32,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-13,,,0.28,,,,38,32,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-14,,,0,,,,33,30,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-15,,,0.08,,,,31,28,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-16,,,0.41,,,,33,20,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-17,,,0,,,,21,12,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-18,,,0,,,,38,9,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-19,,,0,,,,39,22,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-20,,,0,,,,35,16,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-21,,,0,,,,41,26,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-22,,,0,,,,50,40,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-23,,,0.3,,,,53,25,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-24,,,0,,,,30,26,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-25,,,0,,,,37,26,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-26,,,0,,,,45,22,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-27,,,0.06,,,,36,32,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-28,,,0.15,,,,44,33,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-29,,,0,,,,38,29,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-30,,,0,,,,32,28,
USW00014825,"FINDLAY AIRPORT, OH US",2007-12-31,,,0.09,,,,41,27,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-01,,,0.03,,,,38,19,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-02,,,0.03,,,,24,8,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-03,,,0,,,,19,12,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-04,,,0,,,,34,17,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-05,,,0.01,,,,42,33,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-06,,,0,,,,59,42,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-07,,,0,,,,66,57,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-08,,,1.28,,,,62,54,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-09,,,0.24,,,,56,32,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-10,,,0.05,,,,51,32,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-11,,,0,,,,52,35,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-12,,,0,,,,41,31,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-13,,,0.06,,,,39,31,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-14,,,0,,,,32,23,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-15,,,0,,,,24,17,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-16,,,0,,,,31,12,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-17,,,0.05,,,,36,28,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-18,,,0,,,,29,19,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-19,,,0,,,,29,7,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-20,,,0,,,,15,2,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-21,,,0,,,,27,7,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-22,,,0.01,,,,35,14,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-23,,,0,,,,24,12,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-24,,,0.01,,,,20,8,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-25,,,0,,,,21,1,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-26,,,0.01,,,,31,20,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-27,,,0,,,,31,18,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-28,,,0.02,,,,48,18,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-29,,,0.17,,,,51,26,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-30,,,0.03,,,,26,9,
USW00014825,"FINDLAY AIRPORT, OH US",2008-01-31,,,0,,,,29,10,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-01,,,0.29,,,,38,27,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-02,,,0,,,,33,27,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-03,,,0.09,,,,34,28,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-04,,,0.09,,,,55,32,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-05,,,1.49,,,,58,34,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-06,,,1.23,,,,36,32,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-07,,,0,,,,34,29,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-08,,,0,,,,38,30,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-09,,,0.03,,,,42,33,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-10,,,0,,,,34,4,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-11,,,0.02,,,,15,3,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-12,,,0.02,,,,21,13,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-13,,,0,,,,23,6,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-14,,,0,,,,33,7,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-15,,,0,,,,35,19,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-16,,,0,,,,32,10,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-17,,,0.39,,,,53,31,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-18,,,0,,,,37,21,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-19,,,0,,,,22,11,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-20,,,0,,,,22,11,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-21,,,0,,,,23,2,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-22,,,0,,,,28,21,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-23,,,0,,,,30,17,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-24,,,0,,,,34,10,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-25,,,0,,,,35,29,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-26,,,0.14,,,,33,23,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-27,,,0,,,,23,8,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-28,,,0,,,,23,7,
USW00014825,"FINDLAY AIRPORT, OH US",2008-02-29,,,0.01,,,,40,17,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-01,,,0,,,,33,25,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-02,,,0,,,,46,27,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-03,,,0.5,,,,62,34,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-04,,,0.1,,,,34,27,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-05,,,,,,,31,23,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-06,,,0,,,,36,23,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-07,,,0,,,,30,23,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-08,,,0,,,,25,13,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-09,,,0,,,,30,11,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-10,,,0,,,,42,21,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-11,,,0,,,,37,19,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-12,,,0,,,,40,26,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-13,,,0,,,,54,30,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-14,,,0.11,,,,47,36,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-15,,,0,,,,42,29,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-16,,,0,,,,40,29,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-17,,,0.07,,,,39,27,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-18,,,0.33,,,,55,37,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-19,,,1.01,,,,50,36,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-20,,,0,,,,45,31,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-21,,,0,,,,39,28,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-22,,,0,,,,35,26,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-23,,,0,,,,40,23,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-24,,,0,,,,39,26,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-25,,,0,,,,50,28,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-26,,,0,,,,53,32,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-27,,,1.45,,,,44,33,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-28,,,0.07,,,,41,29,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-29,,,0,,,,44,25,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-30,,,0.03,,,,48,30,
USW00014825,"FINDLAY AIRPORT, OH US",2008-03-31,,,0.3,,,,63,46,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-01,,,0.21,,,,57,36,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-02,,,0,,,,47,28,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-03,,,0.08,,,,54,32,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-04,,,0.36,,,,45,37,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-05,,,0,,,,58,32,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-06,,,0,,,,65,37,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-07,,,0,,,,72,47,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-08,,,0,,,,73,42,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-09,,,0.01,,,,65,41,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-10,,,0.14,,,,50,39,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-11,,,0.72,,,,69,47,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-12,,,0.03,,,,48,39,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-13,,,0.15,,,,42,34,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-14,,,0,,,,51,29,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-15,,,0,,,,57,30,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-16,,,0,,,,68,37,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-17,,,0,,,,75,44,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-18,,,0,,,,78,49,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-19,,,0.26,,,,68,51,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-20,,,0.03,,,,60,46,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-21,,,0,,,,72,41,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-22,,,0,,,,76,53,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-23,,,0,,,,77,53,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-24,,,0,,,,74,48,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-25,,,0.23,,,,82,57,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-26,,,0.04,,,,70,47,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-27,,,0,,,,64,41,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-28,,,0.45,,,,55,40,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-29,,,0,,,,52,36,
USW00014825,"FINDLAY AIRPORT, OH US",2008-04-30,,,0,,,,57,29,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-01,,,0,,,,77,46,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-02,,,1.34,,,,73,60,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-03,,,0.14,,,,70,47,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-04,,,0,,,,64,40,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-05,,,0,,,,71,44,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-06,,,0.01,,,,77,49,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-07,,,0.38,,,,74,58,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-08,,,0.29,,,,59,47,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-09,,,0.16,,,,61,48,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-10,,,0,,,,66,42,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-11,,,0.77,,,,60,50,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-12,,,0.06,,,,59,49,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-13,,,0,,,,68,42,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-14,,,0.27,,,,59,53,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-15,,,0.32,,,,57,48,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-16,,,0.15,,,,67,48,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-17,,,0,,,,71,51,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-18,,,0.16,,,,60,43,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-19,,,0,,,,62,39,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-20,,,0,,,,63,47,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-21,,,0,,,,60,44,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-22,,,0,,,,65,44,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-23,,,0,,,,64,45,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-24,,,0,,,,69,45,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-25,,,0,,,,76,42,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-26,,,0,,,,84,59,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-27,,,0.01,,,,67,46,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-28,,,0,,,,63,40,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-29,,,0,,,,74,36,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-30,,,0.44,,,,82,51,
USW00014825,"FINDLAY AIRPORT, OH US",2008-05-31,,,0.58,,,,80,63,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-01,,,0,,,,76,57,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-02,,,0.03,,,,82,51,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-03,,,1.03,,,,73,62,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-04,,,0.03,,,,80,65,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-05,,,0,,,,89,71,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-06,,,0,,,,91,68,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-07,,,0,,,,80,69,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-08,,,0,,,,91,73,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-09,,,0.64,,,,91,67,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-10,,,0.42,,,,77,62,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-11,,,0,,,,85,60,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-12,,,0,,,,88,66,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-13,,,0.5,,,,86,68,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-14,,,0.38,,,,81,63,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-15,,,0.28,,,,83,60,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-16,,,0,,,,79,57,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-17,,,0,,,,72,51,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-18,,,0,,,,70,52,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-19,,,0,,,,75,51,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-20,,,0,,,,82,51,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-21,,,0.45,,,,83,58,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-22,,,0.43,,,,80,57,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-23,,,0.23,,,,76,56,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-24,,,0,,,,79,55,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-25,,,0.69,,,,81,58,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-26,,,0.1,,,,88,66,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-27,,,0.13,,,,86,64,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-28,,,0.04,,,,83,67,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-29,,,0,,,,77,64,
USW00014825,"FINDLAY AIRPORT, OH US",2008-06-30,,,0.06,,,,74,58,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-01,,,0,,,,79,52,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-02,,,0.2,,,,85,59,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-03,,,0.38,,,,71,58,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-04,,,0,,,,75,56,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-05,,,0,,,,79,58,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-06,,,0,,,,84,57,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-07,,,0,,,,87,64,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-08,,,0.8,,,,87,70,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-09,,,0.53,,,,81,59,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-10,,,0,,,,81,56,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-11,,,0,,,,85,64,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-12,,,0.08,,,,85,70,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-13,,,0.12,,,,81,61,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-14,,,0,,,,81,59,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-15,,,0,,,,85,54,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-16,,,0,,,,89,66,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-17,,,0,,,,89,68,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-18,,,0,,,,89,66,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-19,,,0.1,,,,89,68,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-20,,,0.04,,,,87,70,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-21,,,0,,,,85,65,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-22,,,0,,,,84,66,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-23,,,0,,,,81,60,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-24,,,0,,,,82,54,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-25,,,0,,,,82,56,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-26,,,0,,,,87,62,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-27,,,0,,,,83,55,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-28,,,0,,,,85,62,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-29,,,0,,,,90,63,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-30,,,0,,,,87,71,
USW00014825,"FINDLAY AIRPORT, OH US",2008-07-31,,,0,,,,90,67,
USW00014825,"FINDLAY AIRPORT, OH US",2008-08-01,,,1.59,,,,87,66,
USW00014825,"FINDLAY AIRPORT, OH US",2008-08-02,,,0,,,,84,64,
USW00014825,"FINDLAY AIRPORT, OH US",2008-08-03,,,0,,,,84,59,
USW00014825,"FINDLAY AIRPORT, OH US",2008-08-04,,,0.01,,,,85,65,
USW00014825,"FINDLAY AIRPORT, OH US",2008-08-05,,,0.07,,,,83,69,
USW00014825,"FINDLAY AIRPORT, OH US",2008-08-06,,,0,,,,86,64,
USW00014825,"FINDLAY AIRPORT, OH US",2008-08-07,,,0,,,,82,60,
USW00014825,"FINDLAY AIRPORT, OH US",2008-08-08,,,0,,,,79,57,
USW00014825,"FINDLAY AIRPORT, OH US",2008-08-09,,,0.03,,,,79,55,
USW00014825,"FINDLAY AIRPORT, OH US",2008-08-10,,,0,,,,75,53,
USW00014825,"FINDLAY AIRPORT, OH US",2008-08-11,,,0,,,,78,55,
