Date,Precip,MaxAirTemp,RecordMaxTemp,RecordMaxYear,MinAirTemp,RecordMinTemp,RecordMinYear,AvgAirTemp,MaxAirTempTime,MinAirTempTime,MaxRel.Hum.,MinRel.Hum.,Avg.Rel.Hum.,HDD,CDD,GDD,GDD Mod. Sine Wave,Solar Radiation (Langleys),AvgWindDir,AvgWindSpeed,MaxWindSpeed,TimeMaxWindSpeed,MaxSoilTemp2,MinSoilTemp2,AvgSoilTemp2,MaxSoilTemp4,MinSoilTemp4,AvgSoilTemp4,Max50cmAirTemp,Min50cmAirTemp,Avg50cmAirTemp,Max300cmAirTemp,Min300cmAirTemp,Avg300cmAirTemp
10/11/2007,0.02,57.4,84,1962,44.9,17,1964,49.9,4:45 PM,8:00 AM,92,74,85,15.1,0,0,2.6,98.89,151.2735451,7.6,14.1,3:50 PM,57,50.2,52.7,57,53.6,55,-,-,-,-,-,-
10/12/2007,0,55.2,82.9,1995,38.5,25.3,1988,48.6,5:15 PM,11:50 PM,85,48,68,16.3,0,0,1.2,187.44,77.33240972,4,9.4,5:55 PM,58.8,47.8,53.2,57.9,52.7,55.3,-,-,-,-,-,-
10/13/2007,0,60.8,82.5,1995,33.3,23.1,1988,46,3:15 PM,7:35 AM,91,49,75,18.9,0,0,2.9,241.47,265.6101979,5,14.2,2:40 PM,57.8,43.7,50,56.3,48.5,52.4,-,-,-,-,-,-
10/14/2007,0,64,84.9,1989,39.9,26.1,2002,52.9,2:30 PM,12:20 AM,89,53,75,12,0,2.9,4.8,148.5,145.5786458,2.8,6.8,7:40 PM,63.2,47.3,54.5,59.8,51,54.9,-,-,-,-,-,-
10/15/2007,0,76.8,85,1968,46.9,25.5,2006,61.7,3:50 PM,3:35 AM,89,45,67,3.3,0,11.7,12.2,321.04,180.8237847,5.9,11.7,5:35 PM,68,50.8,58.1,63.3,53.3,57.8,-,-,-,-,-,-
10/16/2007,0.09,66.8,83,1963,59.9,25.4,1991,63.2,5:30 PM,1:00 AM,92,65,78,1.7,0,13.2,13.3,73.84,210.2493056,5.4,9.9,1:50 PM,63.4,57.9,60.2,61.7,58.7,60.1,-,-,-,-,-,-
10/17/2007,0.01,75.7,83,1963,57,22.1,1982,65.6,3:25 PM,7:10 AM,95,49,79,0,0.6,15.6,16.3,327.32,235.3392361,5.1,8.4,11:15 PM,72.6,58.3,63.8,67.9,59.5,62.8,-,-,-,-,-,-
10/18/2007,0.13,79.4,84,1963,65.4,21,1976,70.9,5:15 PM,8:45 AM,90,59,77,0,5.9,20.9,22.3,222.61,225.3100694,11.4,19.9,12:35 PM,69,62.5,64.8,66.3,62.6,64,-,-,-,-,-,-
10/19/2007,0,74.3,81,1953,57.5,21,1976,64.4,2:10 AM,11:45 PM,82,55,70,0.6,0,14.3,15.8,177.33,282.1263889,16.6,25.4,12:30 PM,65.4,56.4,61.2,64.7,58.6,62.2,-,-,-,-,-,-
10/20/2007,0,70.6,85,1953,50.7,22,1972,59.5,4:00 PM,7:30 AM,81,34,60,5.5,0,9.4,10,375.12,288.4295139,12.3,23.3,1:10 PM,63.2,52.4,56.9,61.6,55.3,58.2,-,-,-,-,-,-
10/21/2007,0,80.9,85,1953,55,17,1974,67.2,2:10 PM,12:55 AM,66,30,48,0,2.1,17.1,17.9,364.39,250.8857639,10.6,21,11:25 AM,68.2,54,59.4,64.5,55.9,59.4,-,-,-,-,-,-
10/22/2007,0.44,76.4,85,1953,49.8,19,1974,62.6,2:05 PM,1:35 AM,93,42,65,2.3,0,12.6,13.1,242.61,237.2884028,6.4,14.2,11:10 AM,65.8,53.3,59,62.9,55.9,59.4,-,-,-,-,-,-
10/23/2007,0.44,60.1,84,1963,46.6,22.4,1982,51.3,12:00 AM,11:05 PM,94,80,90,13.6,0,1.3,4,50.18,83.88147569,3.4,8.1,7:10 AM,60.5,51.4,55.8,61,54.1,57.6,-,-,-,-,-,-
10/24/2007,0,53.1,83,1963,42.6,21.3,1982,47.7,3:10 PM,8:45 PM,93,66,82,17.2,0,0,0.7,126.28,133.287191,3.8,7.3,8:40 AM,55.5,45.9,50.9,55.1,50.2,53.1,-,-,-,-,-,-
10/25/2007,0,62,82,1963,38.9,19,1960,50.7,3:50 PM,2:20 AM,91,49,77,14.3,0,0.6,3.8,294.79,104.1291319,7.7,23.2,1:35 PM,56.7,43.5,49.6,54.8,47.5,51.1,-,-,-,-,-,-
10/26/2007,0,65.1,81,1963,50.3,22,1962,58.4,5:20 PM,3:25 AM,91,65,80,6.6,0,8.4,7.7,142.51,154.0604167,5.9,14.8,11:05 PM,62,50.7,56.1,59.1,52.5,55.6,-,-,-,-,-,-
10/27/2007,0.03,58.2,77.7,1984,41.7,22,1962,51.8,2:45 PM,11:55 PM,92,77,86,13.1,0,1.8,2.5,54.95,257.1792188,11.9,21.7,2:55 PM,56.6,45.6,52.8,57.5,50.5,54.7,-,-,-,-,-,-
10/28/2007,0.01,56.5,78.9,1999,28.8,21,1976,42.2,3:55 PM,7:00 AM,93,36,72,22.8,0,0,1.3,323.59,227.659559,3.4,9.1,12:15 PM,55.8,38.9,45.6,53.7,44.2,48.6,-,-,-,-,-,-
10/29/2007,0,58.1,79.2,1999,30.9,19,1965,43.7,3:50 PM,5:55 AM,86,44,68,21.3,0,0,1.9,333.16,274.1493056,6.5,15,3:55 PM,53.5,37.4,43.9,51.4,42.2,46.4,-,-,-,-,-,-
10/30/2007,0,64.5,76.6,1999,37.1,22,1963,49.3,3:50 PM,6:50 AM,82,36,62,15.7,0,0,4.7,329.38,249.3451389,6.2,13,2:15 PM,57.1,39.4,46.4,53.6,43.4,47.8,-,-,-,-,-,-
10/31/2007,0,67,75,1971,42.1,19.4,1988,54.2,3:45 PM,8:10 AM,87,46,67,10.8,0,4.1,6.4,256.49,261.9284063,11,20.9,3:55 PM,56.8,42.4,49.5,54,45.7,49.8,-,-,-,-,-,-
11/1/2007,0,54.6,78,1968,32.4,22,1954,43.5,3:40 PM,11:50 PM,87,44,69,21.4,0,0,0.9,332.81,229.2324236,5.1,12.3,10:45 AM,54.6,39.8,46.5,53.4,45,49.1,-,-,-,-,-,-
11/2/2007,0,57.5,77,1961,26.7,20.7,1996,40.4,5:30 PM,6:20 AM,90,37,69,24.6,0,0,1.6,326.04,117.3585451,2.2,10.7,11:20 AM,56.4,34.9,43,52.1,40.3,45.4,-,-,-,-,-,-
11/3/2007,0,59.4,77.9,2003,27.2,19.7,2006,42,3:05 PM,3:20 AM,88,38,68,22.9,0,0,2.2,274.76,228.1027188,4.6,12.4,4:10 PM,55,35.9,43.3,51.4,40.8,45.3,-,-,-,-,-,-
11/4/2007,0,55.3,78.5,2003,30.2,17,1966,41.1,4:25 PM,2:35 AM,86,40,70,23.9,0,0,1,147.02,255.9047917,3.9,8.3,9:35 PM,52.5,37.8,43.4,49.9,41.8,45.1,-,-,-,-,-,-
11/5/2007,0.03,59.7,72,1959,32.5,15.2,1991,45.5,12:55 PM,12:20 AM,87,41,71,19.5,0,0,2.5,122.27,291.8510417,11.8,23.9,1:00 PM,52.1,39.2,44.1,50,42.8,45.7,-,-,-,-,-,-
11/6/2007,0,41.5,73,1978,32.6,20,1967,37.2,1:55 PM,12:40 AM,86,68,77,27.7,0,0,0,89.33,317.15625,16.1,28.2,2:05 PM,40.9,35.9,38.3,44.3,40.1,41.5,-,-,-,-,-,-
11/7/2007,0,42.7,76,1975,27.8,10.6,1991,36,12:50 PM,2:20 AM,89,53,75,29,0,0,0,152.34,284.1681007,4.8,11.1,2:35 PM,45.5,34.6,39,43.7,38.7,41.2,-,-,-,-,-,-
11/8/2007,0,49.2,69.7,1986,32.2,7.2,1991,39.8,4:05 PM,1:30 AM,81,43,65,25.1,0,0,0,174.77,237.5055556,6.7,13.4,2:00 PM,47.8,36.2,40.9,45.8,39.4,42.2,-,-,-,-,-,-
11/9/2007,0,53,75,1975,31,9.1,1991,43,3:00 PM,8:45 AM,88,48,66,21.9,0,0,0.4,242.95,250.8312465,7.6,14.9,5:00 PM,50.3,36.6,42.8,47.6,40.5,44,-,-,-,-,-,-
11/10/2007,0,50.4,73,1975,35.7,17.3,1991,41.6,4:35 PM,3:40 AM,88,55,75,23.3,0,0,2.9,176.96,127.2719271,4.1,7.9,12:20 AM,51,39.1,43.7,48.8,42.1,44.7,-,-,-,-,-,-
11/11/2007,0.34,48.7,72,1964,32.3,19,1952,40.5,11:55 PM,3:30 AM,88,76,83,24.4,0,0,0,20.08,223.8152778,6.8,12.4,1:45 PM,44.6,37.5,41.1,44.5,41.2,42.8,-,-,-,-,-,-
11/12/2007,0.63,65.4,72,1964,48.9,17,1976,56.3,2:50 PM,12:00 AM,93,76,85,8.7,0,6.3,7.2,133.77,277.3586667,10.7,17.4,11:50 AM,58.1,44.6,51.8,54.3,44.5,49.9,-,-,-,-,-,-
11/14/2007,0,62,71,1971,45.4,12,1986,56,1:15 PM,11:55 PM,91,49,72,9,0,5.9,4.7,189.53,312.5105727,11.4,19.6,11:45 AM,57.6,45.2,52.7,55.1,48.8,52.7,-,-,-,-,-,-
11/15/2007,0.02,45.2,71,1956,35,14.5,1996,39.5,12:00 AM,11:55 PM,87,63,77,25.4,0,0,0,92.2,295.5942361,11.5,16.8,11:45 AM,45.1,37.7,41.9,48.7,41.6,45,-,-,-,-,-,-
11/16/2007,0,39.8,69,1987,30.3,13.6,1997,35.2,2:55 PM,7:10 AM,86,58,75,29.7,0,0,0,127.75,297.85,7.1,13.8,3:00 PM,41.8,35.3,37.9,42.2,39.2,40.7,-,-,-,-,-,-
11/17/2007,0.09,43.1,78,1958,32.2,12,1959,37.4,2:25 PM,1:50 AM,91,70,82,27.6,0,0,0,58.57,146.3009375,4.1,7.3,4:25 PM,44.2,36.5,39.4,43.3,39.3,41,-,-,-,-,-,-
11/18/2007,0.01,45.8,70,1953,31,9,1959,37.5,3:55 PM,11:55 PM,91,77,88,27.4,0,0,0,148.56,88.52197917,3.8,7.9,1:35 PM,47.8,35.8,40.9,45.9,39.9,42.4,-,-,-,-,-,-
11/19/2007,0,56.2,70,1953,28.7,19.1,1986,42.4,11:55 PM,1:05 AM,92,76,85,22.6,0,0,1.2,65.22,201.4107639,6.4,12.7,1:20 PM,48.7,35.4,41.1,46.6,38.9,41.7,-,-,-,-,-,-
11/20/2007,0,61.7,69,1953,56.4,17.1,1984,59.4,2:25 PM,12:00 AM,89,82,86,5.5,0,9.4,9,43.79,278.5194444,9.1,15.6,3:35 AM,56.4,48.7,53.7,53.8,46.6,51.4,-,-,-,-,-,-
11/21/2007,1.21,60.8,66,1953,41.5,12,1969,51.4,10:40 AM,11:55 PM,93,85,90,13.5,0,1.4,3.6,13.59,180.1132986,7.4,14,5:35 AM,56.1,44.3,50.8,54.1,46.7,51.3,-,-,-,-,-,-
11/22/2007,0.25,41.6,65.2,1999,27.8,11,1964,35.9,12:40 AM,11:35 PM,93,74,85,29.1,0,0,0,93.67,49.83493056,7,16.8,12:10 AM,44.2,35.5,40.9,46.4,39.7,43.7,-,-,-,-,-,-
11/23/2007,0,35.3,71.2,1999,24.6,10,1971,29.5,3:35 PM,8:30 AM,89,56,79,35.5,0,0,0,284.51,199.9325972,4.1,9,3:50 PM,36.9,33.1,34.7,39.6,36.9,38.1,-,-,-,-,-,-
11/24/2007,0,37.8,65.7,2001,25.1,11,1970,30.7,2:20 PM,2:30 AM,89,68,82,34.3,0,0,0,145.58,264.3322917,6.3,16.2,1:55 PM,38.8,33.3,34.8,38.8,36.3,37.3,-,-,-,-,-,-
11/25/2007,0.16,39.3,65,2006,24.6,16,1970,32.2,3:30 PM,7:40 AM,92,68,83,32.8,0,0,0,139.5,240.8468403,5.2,10,1:45 PM,37.6,31.6,34.1,37.9,34.9,36.3,-,-,-,-,-,-
11/26/2007,0.78,38.7,64.5,1984,33.5,12.7,1991,36.3,2:10 PM,8:25 PM,93,91,92,28.7,0,0,0,18.92,138.7982708,4.1,9.4,11:50 PM,40,36.9,37.9,40.1,37.9,38.9,-,-,-,-,-,-
11/27/2007,0,41.9,68.4,1990,23.9,9,1956,34.9,3:35 PM,11:55 PM,92,58,79,30.1,0,0,0,219.26,272.6196389,12.7,30.1,2:10 PM,39.9,32.7,36.1,39.8,36,38.1,-,-,-,-,-,-
11/28/2007,0,44.1,68.8,2005,19.9,2,1955,32.4,10:30 PM,5:45 AM,87,63,75,32.6,0,0,0,115.27,185.0805486,7.3,13.7,7:55 PM,36.7,30,32.2,36.7,33.9,34.7,-,-,-,-,-,-
11/29/2007,0,46.4,65,1960,25.2,6,1958,32.7,1:00 AM,11:45 PM,82,50,68,32.2,0,0,0,248.81,307.3513889,16.6,25.9,5:25 AM,38.9,31.6,34.1,38.7,34.4,36.2,-,-,-,-,-,-
11/30/2007,0,42.7,62.3,2006,18.4,-1,1958,30.8,2:50 PM,11:40 PM,84,50,68,34.2,0,0,0,227.44,297.9952118,11.9,27,1:05 PM,32.6,30.3,31.4,34.6,33.7,34.1,-,-,-,-,-,-
12/1/2007,0,30.4,63,1970,15.7,9,1976,24,2:40 PM,8:45 AM,85,60,75,40.9,0,0,0,138.07,169.3427083,7,16.7,11:10 PM,31.4,27.7,30.1,34.1,32.7,33.1,-,-,-,-,-,-
12/2/2007,0.49,54.6,68.6,1982,30.5,1,1966,44,9:05 PM,12:00 AM,92,55,86,21,0,0,0.8,40.93,247.6798611,12.1,25.6,10:50 PM,47.7,31.2,38.3,44.7,33.2,37.4,-,-,-,-,-,-
12/3/2007,0,40.1,68.1,1982,29.1,-8,1976,32.1,12:00 AM,2:05 PM,88,78,82,32.9,0,0,0,56.38,336.6128472,18.1,27.7,2:25 PM,42.4,32.9,35.1,43.6,35.2,37.5,-,-,-,-,-,-
12/4/2007,0,31.3,62,1953,25.6,0,1966,28.4,2:55 PM,11:55 PM,88,64,75,36.6,0,0,0,155.12,138.6339688,5.9,10.7,12:25 AM,33.1,32.9,33,35.2,34.7,34.9,-,-,-,-,-,-
12/5/2007,0.16,27.2,69,2001,6.3,0,1976,21.5,3:30 PM,9:25 PM,90,75,84,43.5,0,0,0,120.04,104.7289306,6.2,13,2:25 PM,33.3,32.8,33.1,34.8,34.6,34.7,-,-,-,-,-,-
12/6/2007,0,25.6,65,1956,-2.8,-2,1964,13.1,4:50 PM,6:40 AM,85,65,78,51.9,0,0,0,231.55,248.9243056,4.5,8.6,2:45 PM,33.9,33.3,33.5,35.1,34.8,34.9,-,-,-,-,-,-
12/7/2007,0,32.3,62,1956,22.7,-1,1977,28.6,2:50 PM,12:05 AM,90,76,85,36.3,0,0,0,80.16,267.2236111,6.4,11.1,11:35 AM,34.2,33.8,34,35.3,35,35.1,-,-,-,-,-,-
12/8/2007,0,33.9,65,1966,22.2,-3.5,2005,30.3,2:05 PM,7:45 AM,92,73,83,34.6,0,0,0,183.17,213.845941,3.8,8.6,3:20 AM,34.8,33.4,33.8,35.5,34.9,35.2,-,-,-,-,-,-
12/9/2007,0.49,31.8,58,1952,29.7,-5,1964,30.6,8:05 PM,1:15 AM,93,80,88,34.3,0,0,0,26.99,110.1548264,3.5,9.4,3:20 PM,33.9,33.2,33.5,35,34.7,34.8,-,-,-,-,-,-
12/10/2007,0,32.2,67,1971,30,-8,1958,31.2,4:25 PM,7:00 AM,93,93,93,33.8,0,0,0,36.32,84.84482639,2.2,5.4,12:00 AM,36,33.4,34.3,36,34.8,35.3,-,-,-,-,-,-
12/11/2007,1.01,40.6,63,1971,31.6,-7,1977,35,6:00 PM,12:00 AM,94,93,94,29.9,0,0,0,22.43,211.7966319,4.2,10.4,5:55 PM,38.6,34.3,36.2,38.4,35.4,36.6,-,-,-,-,-,-
12/12/2007,0.33,39.7,62,1979,30.7,-10,1962,34.5,4:45 PM,8:50 PM,94,69,85,30.4,0,0,0,161.74,122.1607118,5.7,10.4,8:50 PM,39.1,33.2,36.5,39.2,35.5,37.6,-,-,-,-,-,-
12/13/2007,0.18,37.8,59.3,1991,31.7,-9,1958,33.5,4:20 PM,12:00 AM,93,81,88,31.4,0,0,0,33.91,229.2964931,9.3,21.1,10:35 PM,37.3,32.9,34.4,37.1,34.7,35.6,-,-,-,-,-,-
12/14/2007,0,32.5,61,1975,29.3,-1,1958,31.5,1:45 PM,10:50 PM,84,71,78,33.4,0,0,0,48.62,212.7689549,9.2,16.5,3:00 AM,34.1,32.6,32.9,35.2,34.2,34.5,-,-,-,-,-,-
12/15/2007,0.09,31.6,64,1975,27.2,-5,1958,28.9,11:55 PM,6:10 PM,92,73,84,36.1,0,0,0,38.29,127.4836458,9,17.6,7:40 PM,32.9,32.5,32.6,34.2,34,34,-,-,-,-,-,-
12/16/2007,0.45,32.5,61.9,1984,20.5,-4.7,1989,26.6,5:00 AM,8:40 PM,93,75,87,38.4,0,0,0,96.51,166.4404514,11.2,19.1,1:05 PM,32.9,32.4,32.7,34.2,33.8,33.9,-,-,-,-,-,-
12/17/2007,0,25.5,57.9,2006,17.9,-7.8,1989,20.4,12:35 AM,7:30 AM,87,77,84,44.6,0,0,0,133.45,304.5260417,15.2,21,6:30 AM,33.3,32.9,33.2,34.3,33.9,34.1,-,-,-,-,-,-
12/18/2007,0,37.4,58,1967,9.7,-4.5,1989,25.4,4:25 PM,5:30 AM,88,72,81,39.5,0,0,0,227.15,216.771875,6.8,13.5,12:00 AM,33.8,33,33.5,34.6,34.2,34.4,-,-,-,-,-,-
12/19/2007,0,38.3,58,1957,25,-8,1963,33.8,1:15 AM,11:55 PM,89,73,82,31.2,0,0,0,81.44,297.5829861,11.6,20.4,8:40 AM,33,32.4,32.6,34.2,33.8,33.9,-,-,-,-,-,-
12/20/2007,0,34.7,60.5,1988,12.7,-8,1963,25.1,4:30 PM,8:35 AM,91,76,85,39.9,0,0,0,185.11,164.2638889,5.2,11.5,4:05 PM,32.7,32.3,32.4,33.9,33.5,33.6,-,-,-,-,-,-
12/21/2007,0,39.5,65,1967,21.6,-14.3,1989,30.4,11:50 PM,7:20 AM,90,80,85,34.6,0,0,0,93.09,139.2870139,5.6,10.8,8:10 AM,32.5,32.2,32.3,33.6,33.4,33.5,-,-,-,-,-,-
12/22/2007,0,50.9,61,1967,39.1,-19.8,1989,44.2,10:35 PM,12:00 AM,90,75,82,20.7,0,0,0.1,86.83,203.9236111,8.8,14.7,10:55 PM,43,32.4,38,40.8,33.4,37,-,-,-,-,-,-
12/23/2007,0.26,53.7,55,1957,24.1,-14.8,1989,37.3,8:15 AM,6:30 PM,89,61,78,27.6,0,0,0.5,66.03,268.6,22.4,35.1,4:05 PM,46.6,29.4,38.2,44.2,34.2,39.5,-,-,-,-,-,-
12/24/2007,0,29.9,60,1964,25.5,-15.3,1983,27.5,8:40 PM,7:00 AM,82,66,77,37.5,0,0,0,28.03,306.2847222,18.4,30.7,2:35 AM,30,28.5,29.3,34.2,32.9,33.2,-,-,-,-,-,-
12/25/2007,0,36,63.8,1982,24.5,-13.7,2004,29.7,4:45 PM,11:45 PM,90,72,83,35.2,0,0,0,124.72,271.4422569,5.8,10.4,12:05 AM,31.4,28.5,30.4,32.9,32.8,32.8,-,-,-,-,-,-
12/26/2007,0,45.5,53,1959,19.5,-7.1,1983,30.9,3:35 PM,7:00 AM,91,58,82,34,0,0,0,232.26,141.8023958,2.6,9,11:35 PM,31.3,25.3,28.7,32.8,31.9,32.2,-,-,-,-,-,-
12/27/2007,0.04,35.7,63,1959,30.1,-9.7,2004,33.1,4:30 PM,1:00 AM,93,88,92,31.9,0,0,0,48.02,214.4895521,5.1,12.2,3:10 PM,31.7,30.3,31.2,32.7,32.3,32.6,-,-,-,-,-,-
12/28/2007,0.11,42.4,64.7,1984,31.8,-7,2000,35.4,9:10 PM,3:15 AM,93,81,87,29.6,0,0,0,32.87,169.0685972,9.4,24.9,11:30 PM,37.2,31.6,32.8,35.9,32.7,33.3,-,-,-,-,-,-
12/29/2007,0,37.2,62.6,1984,28.1,-8,1983,31.6,12:30 AM,10:40 PM,86,76,81,33.4,0,0,0,47.22,314.7545139,12.7,24,1:05 AM,35.5,32,32.8,35.8,33.5,34.2,-,-,-,-,-,-
12/30/2007,0,31.3,60,1965,27.7,-11.2,1983,29,4:15 PM,2:10 AM,89,79,83,36,0,0,0,48.2,180.5651736,4.3,10.4,8:15 PM,32,31.5,31.8,33.5,33.1,33.2,-,-,-,-,-,-
12/31/2007,0.06,41.5,60,1965,27,-16,1976,33.1,3:45 PM,5:50 AM,91,71,86,31.8,0,0,0,157.67,213.3923611,5.6,12.3,12:00 PM,33.7,30.8,31.9,33.8,32.9,33.2,-,-,-,-,-,-
1/1/2008,0.01,39.9,60.9,1985,19.8,-12,1977,29.4,12:50 AM,10:00 PM,90,82,86,35.6,0,0,0,76.95,310.221875,19,27.4,5:50 AM,34.9,32.1,33,34.8,33.5,34,-,-,-,-,-,-
1/2/2008,0,25.7,59.3,2000,9.7,-5,1974,20,2:15 AM,8:45 PM,90,80,84,44.9,0,0,0,130.73,182.7137569,11.5,16.7,2:50 PM,32.3,32.1,32.2,33.5,33.3,33.4,-,-,-,-,-,-
1/3/2008,0,17.3,59.5,1997,3.3,-5.9,1996,13.3,10:20 PM,4:30 AM,87,73,81,51.6,0,0,0,168.93,276.9878472,8.6,14.1,2:45 PM,32.3,32.2,32.3,33.4,33.3,33.4,-,-,-,-,-,-
1/4/2008,0,33.1,68.5,1997,16.3,-18,1981,25.7,11:25 PM,12:00 AM,80,58,70,39.3,0,0,0,192.76,259.5670139,11.8,20.2,5:50 AM,32.4,32.2,32.3,33.4,33.3,33.3,-,-,-,-,-,-
1/5/2008,0,40.8,63.7,1997,30.9,-20,1981,36.8,11:55 PM,2:35 AM,91,58,78,28.2,0,0,0,34.61,255.3295139,11,15.1,11:00 AM,35.3,32.2,32.5,34.2,33.2,33.3,-,-,-,-,-,-
1/6/2008,0,58,58.1,1998,40.9,-5,1970,50.1,10:55 PM,12:00 AM,92,86,89,14.9,0,7,2.4,31.97,249.1069444,11,17.3,11:10 PM,49.6,35.4,43.7,46,34.3,40.7,-,-,-,-,-,-
1/7/2008,0,67.2,59.8,1989,55.5,-12,1970,60.8,4:20 PM,2:25 AM,89,73,83,4.2,0,10.7,11.3,135.26,259.7854167,14.6,21.5,2:25 PM,57.9,48.1,52.8,52.7,46,49.2,-,-,-,-,-,-
1/8/2008,1.06,62.3,61,1965,52.9,-13,1970,57.3,12:05 AM,4:20 AM,93,74,85,7.7,0,7.2,7.5,46.63,243.3692951,14.2,26.1,1:50 PM,56.1,50.4,52.5,52.1,49.6,50.8,-,-,-,-,-,-
1/9/2008,0.87,55.4,59,1965,32.9,-16,1970,40.9,1:00 AM,11:05 PM,94,73,84,24,0,0,1.1,188.21,302.5059028,14.2,33.5,3:15 AM,52.4,35.7,43.5,51.2,39.1,45.4,-,-,-,-,-,-
1/10/2008,0.04,49.1,48.6,2000,30.6,-12.1,1999,37.4,11:55 PM,7:15 AM,92,77,87,27.5,0,0,0,94.32,156.6861111,7.5,16.3,10:40 PM,42.7,33.3,37.2,41.4,35.9,38.3,-,-,-,-,-,-
1/11/2008,0.01,51.9,58,1975,34.9,-10,1979,40,1:10 AM,11:55 PM,91,79,83,24.9,0,0,0.2,38.34,299.5177083,17,26.2,9:50 AM,43.8,35.4,39.2,42.4,37.6,40.2,-,-,-,-,-,-
1/12/2008,0,41.6,66.7,1995,30.5,-10,1979,34.8,4:10 PM,11:55 PM,88,65,78,30.2,0,0,0,191.25,246.4444444,5.9,11.6,3:05 AM,41.2,33.2,35.8,40.6,35.7,37.4,-,-,-,-,-,-
1/13/2008,0.02,40.6,70.1,1995,28.1,-11,1977,34.3,4:40 PM,12:50 AM,91,75,86,30.6,0,0,0,81.19,223.6306944,6.4,15.6,6:55 PM,41.1,32.8,35.1,39.2,34.8,36.3,-,-,-,-,-,-
1/14/2008,0,32.2,71.3,1995,23.8,-7,1977,29,12:00 AM,11:55 PM,90,79,84,36,0,0,0,58.94,313.978125,15.5,21.1,6:40 PM,34.1,31.7,32.7,36.4,33.8,34.7,-,-,-,-,-,-
1/15/2008,0,25.4,58,1953,18.1,-14,1972,23.9,4:35 PM,11:55 PM,88,82,85,41.1,0,0,0,107,316.08125,15,20.9,12:15 PM,31.7,30.9,31.4,33.8,33.2,33.4,-,-,-,-,-,-
1/16/2008,0,32.2,53.9,1990,13,-20,1972,22.6,3:45 PM,7:10 AM,88,67,80,42.4,0,0,0,198.04,209.0368056,4.6,9.8,3:35 PM,30.9,27.9,29.7,33.2,32.3,32.6,-,-,-,-,-,-
